2024-02-05filt,file,shtr,qual,size(MB)
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T04.34.48.420_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T04.35.07.576_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T04.42.13.509_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T04.42.32.665_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T04.49.38.598_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T04.49.57.754_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T04.57.03.687_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T04.57.22.843_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T05.04.28.776_4081BB01.fits,179.65,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T05.04.47.932_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T05.11.53.865_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T05.12.13.219_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T05.19.18.953_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T05.19.38.109_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T05.26.44.422_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T05.27.03.198_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T06.04.48.526_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T06.05.07.682_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T06.24.48.113_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T06.25.07.269_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T06.44.48.242_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T06.45.07.398_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T07.04.48.373_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T07.05.07.530_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T07.24.48.503_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T07.25.07.659_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T07.32.13.596_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T07.32.32.752_4081BB01.fits,0.44,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T07.39.38.681_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T07.39.57.837_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T07.47.03.800_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T07.47.22.956_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T07.54.28.890_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0127_000143_Lev0.5_2024-02-05T07.54.48.460_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T08.09.19.686_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T08.09.38.242_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T08.16.44.155_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T08.17.03.311_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T08.24.09.245_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T08.24.28.401_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T08.31.34.334_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T08.31.53.490_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T08.54.48.645_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T08.55.07.220_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T09.14.47.682_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T09.15.06.838_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T09.34.47.813_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T09.35.06.969_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T09.54.47.943_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_UNP_9999_999999_Lev0.5_2024-02-05T09.55.07.992_4081BB01.fits,0.53,Complete Image,33.3
BB01,SUT_C24_0138_000154_Lev0.5_2024-02-05T10.14.48.727_4081BB01.fits,179.74,Complete Image,33.3
BB01,SUT_C24_0138_000154_Lev0.5_2024-02-05T10.15.07.228_4081BB01.fits,0.53,Complete Image,33.3
